127.0.0.1 - - [07/Jun/2018:14:27:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:27:18 +0530] "GET /PgpHttpSession/LoginPage.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:27:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:27:23 +0530] "GET /PgpHttpSession/Servlet1?uname=azar HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:27:31 +0530] "GET /PgpHttpSession/Servlet2 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:27:39 +0530] "GET /PgpHttpSession/Servlet2 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:29:54 +0530] "GET /PgpHttpSession/LoginPage.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:29:57 +0530] "GET /PgpHttpSession/Servlet1?uname=admin HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:29:59 +0530] "GET /PgpHttpSession/Servlet2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:30:11 +0530] "GET /PgpHttpSession/LoginPage.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:30:13 +0530] "GET /PgpHttpSession/Servlet1?uname=admin HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:30:14 +0530] "GET /PgpHttpSession/Servlet2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:30:25 +0530] "GET /PgpHttpSession/LoginPage.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:30:27 +0530] "GET /PgpHttpSession/Servlet1?uname=azar HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [07/Jun/2018:14:30:28 +0530] "GET /PgpHttpSession/Servlet2 HTTP/1.1" 200 11
